id,text,hashtags,likes,comments,views
11,,#rutgersuniversity #alumni #startupstrategy #softwaredevelopment,2,0,175
12,"Use ONE EMAIL to receive and reply to emails from other accounts. Here's how.. Note that I am only familiar with this via Gmail. Go to Gmail Settings in your other account, whether it's work, old email, hobby, business etc. Add your main email in address forwarding. AND...to reply as those same emails.. Go to Gmail Settings on your main account. Accounts and Import. Send Mail As. Add another email address. And follow the instructions. This saves time and adds convenience at the cost of possibly using more storage on your main email. Also, security protocols for work email may prevent this feature. ",#email #emailtips #productivitytips #emailmarketing #softwaredevelopment,7,0,884
13,Small wins each day ,#goalsetting #militarytransition #softwaredevelopment,9,0,266
14, helped me gain meaningful employment. Highly recommend to all transitioning servicemembers! ,#militarytransition #vetshelpingvets #transitioningmilitary #employment #military #dodskillbridge,3,0,176
15,"I am beyond excited to announce that I accepted a Software Development Engineer Apprentice position at  I will be relocating to #seattlewa in about a month. There are too many people to thank that have spent time supporting and mentoring me through my #militarytransition . But as always, I hope you know who you are :) I wanted to give my best service to the US, and in my eyes that meant serving in the  (Combat Arms Job). I knew years later when I would break into a technology career, I would face difficulties since I lacked internships and tech experience. I started and spent the majority of my transition in Korea, faced the COVID job market and challenges, struggled with depression at times, participated in weekly virtual job fairs, learned an immense amount of knowledge from prominent leaders across industries, excelled in a remote internship and networked/interviewed a ton! But I made it. And now I want to give back as much as I can. I will write a LI article to better tell my story ! ",#vetsintech #veterans #infantry #amazonaws #amazon #softwaredevelopment #softwareengineering #aws #military #techcareer #apprenticeships #awsmilitary,201,95,12771
16,"As someone who grew up in New Jersey and being fairly close to NYC... eventually making it to  I'd say this post is at the very least, relatable. ",#bestcities #costofliving #austintx #qualityoflife #newjersey #nyc,6,1,171
17,"Lesson Learned Tuesdays... Not all companies and organizations are created equal. I was interviewing for a company about a week ago and passed the initial screening along with assessments. I was confident I would land the position. But LISTEN TO THIS...Terms of the position 1) They would fabricate my resume and add 5 years of Android development experience that would be sent to their clients while only going through a 7 week training program. 2) They charge their clients about $150-300 an hour but pay employees about $27-33. I am not a mathematician but this tells me they don't invest in their employees. 3) They change their company name approx. every year due to fraud and company reviews. Although I am still #opentowork, I could never see my morals and values align with this organization. I had to respectfully decline. I'd like to hear what others think about this. ",#joboffer #androiddevelopment #androiddeveloper #companyvalues #moralstories #values #softwaredevelopment #softwareengineering,15,9,1189
18,"Transitioning servicemembers and veterans, here is a great opportunity! ",#transitioningmilitary #veteranhiring #veteranjobs #apprenticeships #jobsearch,11,2,4271
19,"Do you know about #flutterdev yet?! It is an open source mobile framework for UI development created by Google. Using the #dart language, you can use one codebase to version both #android and #ios apps. I am excited to see the capabilities flutter has to offer. In the screenshot, you can see #vscode, an ios simulator, an android emulator and a terminal running the demo app. Hot reloads will update both simulators at the same time. Pretty incredible! I am running about 12/16gb RAM right now. Make sure your computer specs can support. You can also run just one virtual device at a time. Physical devices also supported.", #mobileappdevelopment #mobileapp #mobileapps #androidappdevelopment #androiddevelopment #iosdevelopment #iosappdevelopment #flutterappdevelopment #uidesign,36,11,1747
20,Proud of my Alma Mater Rutgers University ,#innovation #covid #Rutgers,0,0,51
21,Awesome stuff right here!,,3,0,80
22,"My mentors and connections that have helped me get this far all emulated these types of qualities. I'm thankful for the guidance and conversations I've had so far. Looking forward to more! If we've held a conversation before, even if it was short or informal, you are a mentor to me in my eyes. Thank you! ",#mentorship #softskills #softwareengineering #veterans #vetsintech,6,0,453
23,"I felt compelled to create a video of the best times my Soldiers and I had during my Army service. I used Adobe Premiere Pro and footage from multiple media sources whether it was a low quality phone, the newest iPhone on the market, a GoPro and so on. I have never used Premiere Pro before so it was exciting to see an end product. Adobe apps are officially my newest hobbies. One challenge I faced was to constantly fill a 1080p screen for Youtube using phone/ low quality videos. My solution to this as shown was to combine various clips into the same frame/scene. If you know anyone that needs to create a video of any nature at this moment, please feel free to refer me or message me :) ",#alwayslearning #premierepro #adobecreativecloud #military #militaryveterans,9,0,636
24,,#tech #softwareengineering #cybersecurity #techskills,0,0,257
25,"I have recently completed my Hiring Our Heroes fellowship at Novetta as a Cyber Security Engineer ! A few things happened during this time: 1) I confirmed my aspiration and desire to enter a technical field after my military transition, either as a Software Engineer or a Cyber Security Engineer. 2) I faced many new technical problems that I was eager to solve. Some of these problems were: learning a new language (Python - took about 4-5 days to become comfortable), developing networking/TCP/socket programming code, creating a testing framework and black box testing client-server models. 3) I started to see differences in corporate culture versus the norms that the military instills in us. 4) I learned how software development and project flow can be run when you have multiple team members, features, branches etc. being developed at the same time. 5) I reminded myself that one of the most important aspects of an organization is the people that are in it. Even in a remote environment, I was able to establish meaningful relationships in the workplace. Thank you Novetta Billy Tibbs #Aaron Adrian Tilston Carla Miller, MHR, MAIR Sang You Dexter Allen Stephen Verbeke for your support, mentorship and enabling my transition! ",#cybersecurity #militarytransition #hiringourheroes,26,0,1027
